gender,height,speed
male,73,70
male,75,95
male,72,85
female,65,110
male,68,75
female,66,85
female,64,90
female,63,110
male,72,115
male,69,130
female,65,80
male,72,70
female,63,75
female,61,95
female,61,85
female,61,70
male,72,45
female,63,65
female,67,80
male,67,70
female,67,110
male,61,145
male,68,75
female,63,105
male,72,120
female,65,70
male,71,85
female,65,85
male,67,80
female,58,105
female,71,110
female,66,115
male,75,105
female,65,65
female,63,80
male,77,95
female,61,120
male,63,130
male,66,115
male,74,115
female,60,80
male,65,105
female,66,90
male,72,80
female,68,95
female,69,85
female,63,110
female,61,55
male,75,105
male,66,110
female,65,100
female,62,90
male,78,120
male,70,135
female,59,80
female,65,70
male,76,85
female,65,80
male,66,100
female,68,100
male,72,100
male,66,90
male,67,100
male,67,110
male,64,95
male,75,105
male,75,130
female,64,105
female,60,85
male,68,95
female,69,50
male,63,120
female,65,85
male,68,100
female,61,100
female,67,95
female,60,50
male,73,110
male,71,30
female,69,75
female,61,90
male,72,140
male,63,85
female,65,100
male,71,95
female,64,65
female,67,125
female,65,105
female,59,85
male,71,45
male,75,95
male,68,40
female,63,95
male,61,130
female,61,105
male,73,105
female,71,65
male,77,100
male,67,95
male,66,155
female,61,65
female,64,100
female,66,80
female,61,105
male,72,65
female,60,105
female,72,90
male,66,90
male,70,80
female,66,65
female,59,105
female,68,105
male,67,90
female,62,125
male,63,75
male,67,135
female,61,95
female,66,45
female,65,110
female,64,75
female,69,95
male,71,80
male,70,95
female,70,95
male,73,120
female,67,70
female,69,55
female,62,70
male,79,160
female,62,85
male,74,110
female,61,100
female,62,105
female,69,110
female,60,105
male,72,110
female,63,105
male,66,130
male,72,145
female,63,115
male,72,75
male,70,120
female,66,95
female,67,80
male,69,95
male,68,85
male,72,125
female,60,65
male,67,100
female,65,100
male,69,90
male,64,135
female,64,80
male,72,120
male,70,95
female,67,70
male,63,85
female,66,70
male,77,115
female,65,115
male,69,80
female,69,95
male,71,115
male,70,95
female,66,115
female,68,75
female,65,75
male,73,95
male,68,90
female,65,95
male,71,90
female,66,75
male,63,75
female,62,85
male,68,80
male,70,105
male,65,125
male,71,115
female,60,100
female,65,100
female,63,105
male,64,95
male,60,120
male,70,95
female,64,90
female,64,80
female,66,85
male,68,95
male,71,135
female,62,80
male,64,70
female,65,115
male,68,105
female,65,80
female,64,90
male,64,100
female,59,100
female,64,65
female,70,75
male,70,80
female,65,95
female,64,95
male,75,125
female,66,70
male,69,100
female,68,105
male,67,75
male,67,105
male,75,80
male,68,130
female,62,95
male,71,90
male,67,95
female,61,90
female,60,105
female,70,85
female,72,85
male,66,110
female,57,85
male,69,70
female,67,90
female,61,85
female,64,115
male,69,120
female,65,65
female,61,120
male,69,80
female,63,85
female,62,105
male,70,95
male,74,95
male,71,90
male,70,95
female,58,110
female,70,80
male,71,125
female,64,90
male,64,75
male,64,125
male,69,90
female,61,100
female,61,75
female,65,75
male,69,135
female,70,110
male,73,105
male,66,145
male,72,80
female,68,85
female,64,90
female,67,95
female,66,110
female,64,105
female,62,115
male,72,80
female,63,100
male,66,75
male,68,95
male,73,145
female,67,60
male,73,135
female,60,100
male,73,110
female,62,85
female,64,95
male,69,100
male,71,75
female,66,80
male,72,110
female,66,95
male,66,45
male,69,110
female,63,115
male,67,110
male,75,105
female,63,60
male,70,105
male,76,90
female,65,100
male,67,75
female,63,55
female,64,80
female,62,125
female,62,110
male,71,135
male,73,85
female,65,90
male,71,85
female,64,75
female,66,80
male,69,70
female,62,70
male,66,105
male,71,65
female,58,110
female,65,80
female,62,100
male,66,90
female,66,75
male,72,110
female,65,85
male,68,85
male,66,150
female,63,80
male,65,70
male,71,80
male,69,75
male,69,70
male,67,120
female,61,105
female,67,90
male,71,100
female,65,85
female,71,100
male,74,35
male,65,110
male,70,105
male,63,90
male,68,125
male,73,110
female,66,115
male,73,160
female,63,60
male,70,105
female,67,95
female,68,105
male,70,75
female,63,60
female,65,95
female,68,100
male,69,135
female,67,85
female,70,90
female,65,100
female,65,70
male,69,110
female,66,80
female,66,65
male,72,75
male,66,105
female,66,95
female,67,70
male,70,120
female,62,95
female,63,105
female,66,75
female,70,90
female,65,85
female,70,125
female,63,100
female,64,85
female,64,80
female,63,105
female,60,85
female,66,60
female,64,75
female,67,100
female,63,100
male,70,100
male,69,80
female,67,90
male,77,105
male,69,85
male,72,105
female,59,115
male,66,75
male,71,110
male,70,130
male,70,30
female,63,80
male,68,95
female,63,105
female,64,130
female,64,105
male,72,60
female,68,95
female,67,50
male,74,135
female,64,75
female,68,115
male,70,65
male,69,100
male,74,100
male,71,145
male,70,145
male,72,80
male,68,120
female,62,85
male,68,75
female,72,85
